,0,1,2
0,"Slam Dunk, Vol. 29",9781421533360,"{'ISBN-13': '9781421533360', 'Title': 'Slam Dunk', 'Authors': ['Takehiko Inoue'], 'Publisher': 'VIZ Media LLC', 'Year': '2013', 'Language': 'en'}"
1,Revealing Us (The Inside Out Series),9781501125010,"{'ISBN-13': '9781501125010', 'Title': 'Revealing Us', 'Authors': ['Lisa Renee Jones'], 'Publisher': 'Pocket Books', 'Year': '2015', 'Language': 'en'}"
2,"FNAF Funny Jokes, Hilarious Memes & Pictures: An Unofficial Five Nights At Freddy's Book",9781512185560,"{'ISBN-13': '9781512185560', 'Title': ""Fnaf Funny Jokes, Hilarious Memes & Pictures - An Unofficial Five Nights At Freddy's Book"", 'Authors': ['Survival Press'], 'Publisher': 'CreateSpace', 'Year': '2015', 'Language': 'en'}"
3,Practice Problems for the Mechanical Engineering PE Exam: A Companion to the Mechanical Engineering Reference Manual (Comprehensive Practice for the Mechanical Pe Exam),9781591260509,"{'ISBN-13': '9781591260509', 'Title': 'Practice Problems For The Mechanical Engineering PE Exam - A Companion To The Mechanical Engineering Reference Manual', 'Authors': ['Michael R. Lindeburg'], 'Publisher': 'Professional Publications Incorporated', 'Year': '2006', 'Language': 'en'}"
4,Day 6: Beyond the 5 Day Pouch Test,9781628901856,"{'ISBN-13': '9781628901856', 'Title': 'Day 6 - Beyond The 5 Day Pouch Test', 'Authors': ['Kaye Bailey'], 'Publisher': '', 'Year': '2009', 'Language': 'en'}"
5,Posters for the People,9781594742927,"{'ISBN-13': '9781594742927', 'Title': 'Posters For The People - Art Of The WPA', 'Authors': ['Ennis Carter'], 'Publisher': '', 'Year': '2008', 'Language': 'en'}"
6,Let's Take a Walk Through the Orthodox Church,9781880971390,"{'ISBN-13': '9781880971390', 'Title': ""Let's Take A Walk Through Our Orthodox Church"", 'Authors': ['Anthony M. Coniaris'], 'Publisher': '', 'Year': '1998', 'Language': 'en'}"
7,"Wordly Wise 3000 Grade 6 SET -- Student, Answer Key and Tests (Systematic Academic Vocabulary Development)",9780838876060,"{'ISBN-13': '9780838876060', 'Title': 'Wordly Wise 3000 - Systematic Academic Vocabulary Development', 'Authors': ['Kenneth Hodkinson', 'Sandra Adams'], 'Publisher': 'Educators Pub Service', 'Year': '2012', 'Language': 'en'}"
8,Fat to Fearless: Enjoy Permanent Weight Loss and End Emotional Eating...For Good!,9781938886973,"{'ISBN-13': '9781938886973', 'Title': 'Fat To Fearless', 'Authors': ['Asher Fox'], 'Publisher': 'Jetlaunch', 'Year': '2014', 'Language': 'en'}"
9,Pediatric Epilepsy,9783319082899,"{'ISBN-13': '9783319082899', 'Title': 'Handbook Of Pediatric Epilepsy', 'Authors': ['David C. Dredge'], 'Publisher': 'Adis', 'Year': '2016', 'Language': 'en'}"
