,0,1,2
0,The Most Magnificent Thing,9781554537044,"{'ISBN-13': '9781554537044', 'Title': 'Most Magnificent Thing, The', 'Authors': ['Ashley Spires'], 'Publisher': 'Kids Can Press Ltd', 'Year': '2014', 'Language': 'en'}"
1,Henny Penny (Paul Galdone Classics),9780899192253,"{'ISBN-13': '9780899192253', 'Title': 'Henny Penny', 'Authors': ['Paul Galdone'], 'Publisher': 'Houghton Mifflin Harcourt', 'Year': '1968', 'Language': 'en'}"
2,Post-Human (Post-Human Series) (Volume 2),9781481808835,"{'ISBN-13': '9781481808835', 'Title': 'Post-Human', 'Authors': ['David Simpson', 'Autumn J. Conley', 'Jennifer Simpson'], 'Publisher': 'Createspace Independent Pub', 'Year': '2012', 'Language': 'en'}"
3,The Betrayal Bond: Breaking Free of Exploitive Relationships,9781558745261,"{'ISBN-13': '9781558745261', 'Title': 'The Betrayal Bond - Breaking Free Of Exploitive Relationships', 'Authors': ['Patrick Carnes'], 'Publisher': 'Health Communications, Inc.', 'Year': '1997', 'Language': 'en'}"
4,Jennifer Capriati: Tennis Sensation (Achievers),9780822505198,"{'ISBN-13': '9780822505198', 'Title': 'Jennifer Capriati - Tennis Sensation', 'Authors': ['Margaret J. Goldstein'], 'Publisher': 'Lerner Publishing Group', 'Year': '1993', 'Language': 'en'}"
5,The Fear: Robert Mugabe and the Martyrdom of Zimbabwe,9780316051873,"{'ISBN-13': '9780316051873', 'Title': 'The Fear - Robert Mugabe And The Martyrdom Of Zimbabwe', 'Authors': ['Peter Godwin'], 'Publisher': 'Back Bay Books', 'Year': '2011', 'Language': 'en'}"
6,Secrets of a Side Bitch 3,9781496100641,"{'ISBN-13': '9781496100641', 'Title': 'Secrets Of A Side Bitch 3', 'Authors': ['Jessica N. Watkins'], 'Publisher': 'CreateSpace', 'Year': '2014', 'Language': 'en'}"
7,The Colossus and Other Poems,9780375704468,"{'ISBN-13': '9780375704468', 'Title': 'The Colossus & Other Poems', 'Authors': ['Sylvia Plath'], 'Publisher': 'Vintage', 'Year': '1998', 'Language': 'en'}"
8,Modern Japanese Tanka,9780231104333,"{'ISBN-13': '9780231104333', 'Title': 'Modern Japanese Tanka - An Anthology', 'Authors': ['Makoto Ueda'], 'Publisher': 'Columbia University Press', 'Year': '1996', 'Language': 'en'}"
9,The New Way Things Work,9780395938478,"{'ISBN-13': '9780395938478', 'Title': 'The New Way Things Work', 'Authors': [''], 'Publisher': 'Houghton Mifflin Harcourt', 'Year': '1998', 'Language': 'en'}"
