,0,1,2
0,The Life We Bury,9781616149987,"{'ISBN-13': '9781616149987', 'Title': 'The Life We Bury', 'Authors': ['Allen Eskens'], 'Publisher': 'Seventh Street Books', 'Year': '2014', 'Language': 'en'}"
1,Pop's Bridge,did not work,did not work
2,Mad About Animals Mad Libs,9780843137132,"{'ISBN-13': '9780843137132', 'Title': ""Mad About Animals Mad Libs - World's Greatest Word Game"", 'Authors': ['Roger Price', 'Leonard Stern'], 'Publisher': 'Penguin', 'Year': '2009', 'Language': 'en'}"
3,Altar of Eden,9780061231438,"{'ISBN-13': '9780061231438', 'Title': 'Altar Of Eden', 'Authors': ['James Rollins'], 'Publisher': 'Harper Collins', 'Year': '2010', 'Language': 'en'}"
4,"W. B. Yeats: A Life, Volume II: The Arch-Poet 1915-1939",9780198184652,"{'ISBN-13': '9780198184652', 'Title': 'W.B. Yeats: The Arch-Poet, 1915-1939', 'Authors': ['Robert Fitzroy Foster'], 'Publisher': 'Oxford University Press on Demand', 'Year': '2003', 'Language': 'en'}"
5,Queen of the Falls,9780547315812,"{'ISBN-13': '9780547315812', 'Title': 'Queen Of The Falls', 'Authors': ['Chris Van Allsburg'], 'Publisher': 'Houghton Mifflin Harcourt', 'Year': '2011', 'Language': 'en'}"
6,There Was an Old Lady Who Swallowed a Bell!,9780545946155,"{'ISBN-13': '9780545946155', 'Title': 'There Was An Old Lady Who Swallowed A Bell!', 'Authors': ['Lucille Colandro'], 'Publisher': 'Cartwheel Books', 'Year': '2016', 'Language': 'en'}"
7,Whispers in the Dark (Marti Macalister),9780312307332,"{'ISBN-13': '9780312307332', 'Title': 'Whispers In The Dark', 'Authors': ['Eleanor Taylor Bland'], 'Publisher': 'Minotaur Books', 'Year': '2002', 'Language': 'en'}"
8,Baa Baa Black Sheep,9781770935372,"{'ISBN-13': '9781770935372', 'Title': 'Baa, Baa, Black Sheep', 'Authors': ['Melissa Everett'], 'Publisher': '', 'Year': '2013', 'Language': 'en'}"
9,My Russian Grandmother and Her American Vacuum Cleaner: A Family Memoir,9780805242874,"{'ISBN-13': '9780805242874', 'Title': 'My Russian Grandmother And Her American Vacuum Cleaner - A Family Memoir', 'Authors': [''], 'Publisher': 'Schocken Books Incorporated', 'Year': '2011', 'Language': 'en'}"
