,0,1,2
0,Dearest Rogue (Maiden Lane),9781455586356,"{'ISBN-13': '9781455586356', 'Title': 'Dearest Rogue', 'Authors': ['Elizabeth Hoyt'], 'Publisher': 'Vision', 'Year': '2015', 'Language': 'en'}"
1,The Plum Tree,9780758278432,"{'ISBN-13': '9780758278432', 'Title': 'The Plum Tree', 'Authors': ['Ellen Marie Wiseman'], 'Publisher': 'Kensington Books', 'Year': '2012', 'Language': 'en'}"
2,Orangutan: A Memoir,9780307453402,"{'ISBN-13': '9780307453402', 'Title': 'Orangutan - A Memoir', 'Authors': ['Colin Broderick'], 'Publisher': 'Broadway Books', 'Year': '2009', 'Language': 'en'}"
3,"Books of Blood, Vols. 1-3",9780425165584,"{'ISBN-13': '9780425165584', 'Title': 'Books Of Blood - Volumes One To Three', 'Authors': ['Clive Barker'], 'Publisher': 'Berkley', 'Year': '1998', 'Language': 'en'}"
4,"A Modern Witch: A Modern Witch, Book 1",9781937041038,"{'ISBN-13': '9781937041038', 'Title': 'A Modern Witch', 'Authors': ['Debora Geary'], 'Publisher': '', 'Year': '2011', 'Language': 'en'}"
5,The Mandie Collection,9780764209338,"{'ISBN-13': '9780764209338', 'Title': 'The Mandie Collection', 'Authors': ['Lois Gladys Leppard'], 'Publisher': 'Bethany House', 'Year': '2011', 'Language': 'en'}"
6,Photos Framed: A Fresh Look at the World's Most Memorable Photographs,9780763671549,"{'ISBN-13': '9780763671549', 'Title': ""Photos Framed - A Fresh Look At The World's Most Memorable Photographs"", 'Authors': ['Ruth Thomson'], 'Publisher': 'Candlewick Press (MA)', 'Year': '2014', 'Language': 'en'}"
7,Amazing Grace: William Wilberforce and the Heroic Campaign to End Slavery,9780061173882,"{'ISBN-13': '9780061173882', 'Title': 'Amazing Grace - William Wilberforce And The Heroic Campaign To End Slavery', 'Authors': ['Eric Metaxas'], 'Publisher': 'Zondervan', 'Year': '2007', 'Language': 'en'}"
8,Spooky Mad Libs,9780843120363,"{'ISBN-13': '9780843120363', 'Title': 'Spooky Mad Libs', 'Authors': ['Roger Price', 'Leonard Stern'], 'Publisher': 'Price Stern Sloan', 'Year': '2006', 'Language': 'en'}"
9,Tripwire: A Jack Reacher Novel,9780515143072,"{'ISBN-13': '9780515143072', 'Title': 'Tripwire', 'Authors': ['Lee Child'], 'Publisher': 'Penguin', 'Year': '2007', 'Language': 'en'}"
