,0,1,2
0,The Sonnets and a Lover's Complaint (Hardcover Classics),9780140436846,"{'ISBN-13': '9780140436846', 'Title': ""The Sonnets And A Lover's Complaint"", 'Authors': ['William Shakespeare'], 'Publisher': 'Penguin UK', 'Year': '1999', 'Language': 'en'}"
1,Perrine's Sound and Sense: An Introduction to Poetry (Perrine's Sound & Sense: An Introduction to Poetry),9781133307242,"{'ISBN-13': '9781133307242', 'Title': ""Perrine's Sound And Sense - An Introduction To Poetry"", 'Authors': ['Greg Johnson', 'Thomas R. Arp'], 'Publisher': 'Wadsworth Publishing Company', 'Year': '2013', 'Language': 'en'}"
2,Tales from Ovid: 24 Passages from the Metamorphoses,9780374525873,"{'ISBN-13': '9780374525873', 'Title': 'Tales From Ovid - 24 Passages From The Metamorphoses', 'Authors': ['Ted Hughes'], 'Publisher': 'Farrar, Straus and Giroux', 'Year': '1999', 'Language': 'en'}"
3,The Canterbury Tales (No Fear),9781411426962,"{'ISBN-13': '9781411426962', 'Title': 'Canterbury Tales', 'Authors': ['Geoffrey Chaucer', 'SparkNotes'], 'Publisher': 'Spark Notes', 'Year': '2009', 'Language': 'en'}"
4,"Opened Ground: Selected Poems, 1966-1996",9780374526788,"{'ISBN-13': '9780374526788', 'Title': 'Opened Ground - Selected Poems, 1966-1996', 'Authors': ['Seamus Heaney'], 'Publisher': 'Macmillan', 'Year': '1999', 'Language': 'en'}"
5,Tristan: With the Surviving Fragments of the 'Tristran of Thomas' (Penguin Classics),9780140440980,"{'ISBN-13': '9780140440980', 'Title': 'Tristan With The Surviving Fragments Of The Tristran Of Thomas', 'Authors': ['Gottfried Strassburg'], 'Publisher': 'Penguin Classics', 'Year': '1960', 'Language': 'en'}"
6,The Merchant of Venice (Dover Thrift Editions),9780486284927,"{'ISBN-13': '9780486284927', 'Title': 'The Merchant Of Venice', 'Authors': ['William Shakespeare'], 'Publisher': 'Courier Corporation', 'Year': '1995', 'Language': 'en'}"
7,Birthday Letters: Poems,9780374525811,"{'ISBN-13': '9780374525811', 'Title': 'Birthday Letters - Poems', 'Authors': ['Ted Hughes'], 'Publisher': 'Macmillan', 'Year': '1999', 'Language': 'en'}"
8,The Riverside Chaucer,9780395290316,"{'ISBN-13': '9780395290316', 'Title': 'The Riverside Chaucer', 'Authors': ['Geoffrey Chaucer', 'Larry Dean Benson', 'Robert Pratt', 'Fred Norris Robinson'], 'Publisher': 'Houghton Mifflin College Division', 'Year': '1987', 'Language': 'en'}"
9,Flower Fairies of the Autumn,9780241335451,"{'ISBN-13': '9780241335451', 'Title': 'Flower Fairies Of The Autumn', 'Authors': ['Cicely Mary Barker'], 'Publisher': 'Warne', 'Year': '2018', 'Language': 'en'}"
