,0,1,2
0,"The Oresteia Trilogy: Agamemnon, the Libation-Bearers and the Furies",9780486292427,"{'ISBN-13': '9780486292427', 'Title': 'The Oresteia Trilogy - Agamemnon, The Libation-Bearers And The Furies', 'Authors': ['Aeschylus', 'E. D. A. Morshead'], 'Publisher': 'Courier Corporation', 'Year': '1996', 'Language': 'en'}"
1,Stardust,9780061689246,{}
2,Autobiography of a Geisha,9780231129510,"{'ISBN-13': '9780231129510', 'Title': 'Autobiography Of A Geisha', 'Authors': ['Sayo Masuda', 'G. G. Rowley'], 'Publisher': '', 'Year': '2005', 'Language': 'en'}"
3,"The Last, Long Night (#5 in the Bregdan Chronicles Historical Fiction Romance Se (Volume 5)",9781544268002,"{'ISBN-13': '9781544268002', 'Title': 'The Last Long Night', 'Authors': ['Ginny Dye'], 'Publisher': '', 'Year': '2015', 'Language': 'en'}"
4,The Worst Times Are the Best Times,9780692211793,"{'ISBN-13': '9780692211793', 'Title': 'The Worst Times Are The Best Times', 'Authors': ['Mark Gottfried', 'Levelle Moton', 'Mike Krzyzewski', 'Edward G. Robinson III', 'Roy Williams'], 'Publisher': 'Mr Pub Llc', 'Year': '2015', 'Language': 'en'}"
5,Not Another Teen Knitting Book,9781402720666,"{'ISBN-13': '9781402720666', 'Title': 'Not Another Teen Knitting Book', 'Authors': ['Vickie Howell'], 'Publisher': 'Sterling Publishing Company, Inc.', 'Year': '2006', 'Language': 'en'}"
6,Married on Mondays,9780446582339,"{'ISBN-13': '9780446582339', 'Title': 'Married On Mondays', 'Authors': ['HoneyB'], 'Publisher': 'Grand Central Publishing', 'Year': '2011', 'Language': 'en'}"
7,The Color of My Paint,9781439205112,"{'ISBN-13': '9781439205112', 'Title': 'The Color Of My Paint', 'Authors': ['Mario Luis Vazquez'], 'Publisher': 'Booksurge Publishing', 'Year': '2008', 'Language': 'en'}"
8,Warhammer: The General's Compendium,9781841544366,"{'ISBN-13': '9781841544366', 'Title': ""Warhammer - The General's Compendium"", 'Authors': ['Eric Sarlin', 'Jeremy Vetock'], 'Publisher': '', 'Year': '2003', 'Language': 'en'}"
9,Alzheimer's Disease (Contemporary Issues Companion),9780737724431,"{'ISBN-13': '9780737724431', 'Title': ""Alzheimer's Disease"", 'Authors': ['Adela Soliz'], 'Publisher': 'Greenhaven Press, Incorporated', 'Year': '2006', 'Language': 'en'}"
