,0,1,2
0,A Menu for Loving,9780692380062,"{'ISBN-13': '9780692380062', 'Title': 'A Menu For Loving', 'Authors': ['Olivia Gaines'], 'Publisher': '', 'Year': '2015', 'Language': 'en'}"
1,Honeydew: Stories,9780316297233,"{'ISBN-13': '9780316297233', 'Title': 'Honeydew - Stories', 'Authors': ['Edith Pearlman'], 'Publisher': 'Back Bay Books', 'Year': '2015', 'Language': 'en'}"
2,"Spartacus, Or, the Roman Gladiator: A Tragedy - Primary Source Edition",9781287971214,{}
3,Venus in Boston and Other Tales of Nineteenth-Century Life,9781558493261,"{'ISBN-13': '9781558493261', 'Title': 'Venus In Boston - And Other Tales Of Nineteenth-Century City Life', 'Authors': ['George Thompson'], 'Publisher': 'Univ of Massachusetts Press', 'Year': '2002', 'Language': 'en'}"
4,Regine's Book: A Teen Girl's Last Words (True Stories),9781936976010,"{'ISBN-13': '9781936976010', 'Title': ""Regine's Book - A Teen Girl's Last Words"", 'Authors': ['Regine Stokke'], 'Publisher': 'Zest Books', 'Year': '2014', 'Language': 'en'}"
5,The Complete Works of Edgar Allan Poe: Volume 2,9781521984925,"{'ISBN-13': '9781521984925', 'Title': 'The Complete Works Of Edgar Allan Poe - Volume 2 - By Edgar Allan Poe - Illustrated', 'Authors': ['Edgar Allan Edgar Allan Poe'], 'Publisher': '', 'Year': '2017', 'Language': 'en'}"
6,A Thousand Splendid Suns,9781594483851,"{'ISBN-13': '9781594483851', 'Title': 'A Thousand Splendid Suns', 'Authors': ['Khaled Hosseini'], 'Publisher': 'Riverhead Trade (Paperbacks)', 'Year': '2008', 'Language': 'en'}"
7,The Seven Addictions and Five Professions of Anita Berber: Weimar Berlin's Priestess of Depravity,9781932595123,"{'ISBN-13': '9781932595123', 'Title': ""The Seven Addictions And Five Professions Of Anita Berber - Weimar Berlin's Priestess Of Depravity"", 'Authors': ['Mel Gordon'], 'Publisher': '', 'Year': '2006', 'Language': 'en'}"
8,A Broken Kind of Beautiful: A Novel,9781601425904,"{'ISBN-13': '9781601425904', 'Title': 'A Broken Kind Of Beautiful - A Novel', 'Authors': ['Katie Ganshert'], 'Publisher': 'Waterbrook Press', 'Year': '2014', 'Language': 'en'}"
9,Pathfinder Pawns: Bestiary 4 Box,9781601255839,{}
