,0,1,2
0,Brain Quest Grade 7,9780761166573,"{'ISBN-13': '9780761166573', 'Title': 'Brain Quest Grade 7 - 1,500 Questions And Answers To Challenge The Mind', 'Authors': ['Chris Welles Feder', 'Susan Bishay'], 'Publisher': '', 'Year': '2012', 'Language': 'en'}"
1,Wrath of the Fallen (Heirs of the Fallen) (Volume 4),9781494900199,"{'ISBN-13': '9781494900199', 'Title': 'Wrath Of The Fallen', 'Authors': ['James A. West', 'Darko Tomic'], 'Publisher': 'CreateSpace', 'Year': '2013', 'Language': 'en'}"
2,The Fallen (An Enemy Novel),9781423166368,"{'ISBN-13': '9781423166368', 'Title': 'The Fallen (An Enemy Novel)', 'Authors': ['Charlie Higson'], 'Publisher': 'Disney-Hyperion', 'Year': '2015', 'Language': 'en'}"
3,Are You Being Abused? (Got Issues?),9780766069794,"{'ISBN-13': '9780766069794', 'Title': 'Are You Being Abused?', 'Authors': ['Sherri Mabry Gordon'], 'Publisher': 'Enslow Publishing, LLC', 'Year': '2015', 'Language': 'en'}"
4,Cosa Nostra: A History of the Sicilian Mafia,9781403970428,"{'ISBN-13': '9781403970428', 'Title': 'Cosa Nostra - A History Of The Sicilian Mafia', 'Authors': ['John Dickie'], 'Publisher': 'Macmillan', 'Year': '2005', 'Language': 'en'}"
5,2287 A.D.: A Post-Apocalyptic Novel (After Destruction) (Volume 1),9781514202630,"{'ISBN-13': '9781514202630', 'Title': '2287 A. D. - A Post-Apocalyptic Novel', 'Authors': ['R. Brown'], 'Publisher': '', 'Year': '2015', 'Language': 'en'}"
6,House of Leaves,9780375703768,"{'ISBN-13': '9780375703768', 'Title': ""Mark Z. Danielewski's House Of Leaves"", 'Authors': ['Mark Z. Danielewski', 'Zampanò'], 'Publisher': 'Pantheon', 'Year': '2000', 'Language': 'en'}"
7,Giant Monster Rampage 2: World War,9781932374094,"{'ISBN-13': '9781932374094', 'Title': 'GIANT MONSTER RAMPAGE 2 -OSI', 'Authors': ['Mystic Eye Games'], 'Publisher': '', 'Year': '2003', 'Language': 'en'}"
8,Mao Zedong and the Chinese Revolution (World Leaders),9781599351001,"{'ISBN-13': '9781599351001', 'Title': 'Mao Zedong And The Chinese Revolution', 'Authors': ['Corinne J. Naden'], 'Publisher': 'Morgan Reynolds Pub', 'Year': '2008', 'Language': 'en'}"
9,Exposed (Exposed Series),9780758253217,"{'ISBN-13': '9780758253217', 'Title': 'Exposed', 'Authors': ['Naomi Chase'], 'Publisher': 'Kensington Books', 'Year': '2014', 'Language': 'en'}"
