,0,1,2
0,What If It's Not Alzheimer's?: A Caregiver's Guide To Dementia (3rd Edition),9781616149680,"{'ISBN-13': '9781616149680', 'Title': ""What If It's Not Alzheimer's? - A Caregiver's Guide To Dementia"", 'Authors': ['Gary Radin'], 'Publisher': '', 'Year': '2014', 'Language': 'en'}"
1,The Angry Tide (Poldark),9780330463300,"{'ISBN-13': '9780330463300', 'Title': 'The Angry Tide - A Novel Of Cornwall 1798-1799', 'Authors': ['Winston Graham'], 'Publisher': 'Pan Macmillan', 'Year': '2008', 'Language': 'en'}"
2,The Hajj: The Muslim Pilgrimage to Mecca and the Holy Places,9780691026190,"{'ISBN-13': '9780691026190', 'Title': 'The Hajj - The Muslim Pilgrimage To Mecca And The Holy Places', 'Authors': ['F. E. Peters'], 'Publisher': 'Princeton University Press', 'Year': '1996', 'Language': 'en'}"
3,I (Don't) Like Snakes,9780763678319,"{'ISBN-13': '9780763678319', 'Title': ""I Don't Like Snakes"", 'Authors': ['Nicola Davies'], 'Publisher': 'Candlewick Press (MA)', 'Year': '2015', 'Language': 'en'}"
4,Epilepsy (Understanding Illness),9781583400258,"{'ISBN-13': '9781583400258', 'Title': 'Epilepsy', 'Authors': ['Sue Vander Hook'], 'Publisher': 'Creative Publishing International', 'Year': '2000', 'Language': 'en'}"
5,Lupus: The Essential Clinician's Guide (Oxford American Rheumatology Library),9780199361960,"{'ISBN-13': '9780199361960', 'Title': ""Lupus - The Essential Clinician's Guide"", 'Authors': ['Daniel J. Wallace'], 'Publisher': 'Oxford University Press', 'Year': '2014', 'Language': 'en'}"
6,Protocol Zero: A Joe Rush Novel,9782015425276,{}
7,Time for Kids: Presidents of the United States,9781618934277,"{'ISBN-13': '9781618934277', 'Title': 'Presidents Of The United States (America Handbooks, A TIME For Kids Series)', 'Authors': ['The Editors of TIME For Kids'], 'Publisher': 'Time For Kids', 'Year': '2017', 'Language': 'en'}"
8,Advanced Oncology Nursing Certification Review and Resource Manual,9781935864554,"{'ISBN-13': '9781935864554', 'Title': 'Advanced Oncology Nursing Certification Review And Resource Manual', 'Authors': ['Barbara Holmes Gobel', 'Shirley Triest-Robertson', 'Wendy H. Vogel'], 'Publisher': '', 'Year': '2016', 'Language': 'en'}"
9,Of Sand or Soil: Genealogy and Tribal Belonging in Saudi Arabia (Princeton Studies in Muslim Politics),9780691183381,"{'ISBN-13': '9780691183381', 'Title': 'Of Sand Or Soil - Genealogy And Tribal Belonging In Saudi Arabia', 'Authors': ['Nadav Samin'], 'Publisher': 'Princeton University Press', 'Year': '2019', 'Language': 'en'}"
