,0,1,2
0,Coding For Kids For Dummies,9781118940327,"{'ISBN-13': '9781118940327', 'Title': 'Coding For Kids For Dummies', 'Authors': ['Camille McCue'], 'Publisher': 'John Wiley & Sons', 'Year': '2014', 'Language': 'en'}"
1,XSLT For Dummies,9780764536519,"{'ISBN-13': '9780764536519', 'Title': 'XSLT For Dummies', 'Authors': ['Richard Wagner'], 'Publisher': 'For Dummies', 'Year': '2002', 'Language': 'en'}"
2,Spooky Cursive Handwriting Practice Workbook,9781492309000,"{'ISBN-13': '9781492309000', 'Title': 'Spooky Cursive Handwriting Practice Workbook', 'Authors': ['Julie Harper'], 'Publisher': 'CreateSpace', 'Year': '2013', 'Language': 'en'}"
3,Pilgrims Guide to the Holy Land (Pilgrim's Guides) (A Pilgrim's Guide to),9780953251162,"{'ISBN-13': '9780953251162', 'Title': ""A Pilgrim's Guide To The Holy Land - Israel And Jordan"", 'Authors': ['Raymond Goodburn'], 'Publisher': 'Pilgrim', 'Year': '2010', 'Language': 'en'}"
4,Tibet (Bradt Travel Guide),9781841623825,"{'ISBN-13': '9781841623825', 'Title': 'Tibet', 'Authors': ['Michael Buckley'], 'Publisher': 'Bradt Travel Guides', 'Year': '2012', 'Language': 'en'}"
5,"Cases and Materials on Torts, Tenth Edition (Aspen Casebooks)",9780735599925,"{'ISBN-13': '9780735599925', 'Title': 'Cases And Materials On Torts', 'Authors': ['Richard Allen Epstein', 'Catherine M. Sharkey'], 'Publisher': 'Aspen Publishers', 'Year': '2012', 'Language': 'en'}"
6,Snow Day: John Deere Giant Lift-the-Flap Book,9780762423712,"{'ISBN-13': '9780762423712', 'Title': 'Snow Day!', 'Authors': ['Devra Newberger Speregen', 'Benjamin Vincent', 'Robert DePew'], 'Publisher': 'Running Press Kids', 'Year': '2005', 'Language': 'en'}"
7,Fundamentals of Software Engineering (2nd Edition),9780133056990,"{'ISBN-13': '9780133056990', 'Title': 'Fundamentals Of Software Engineering', 'Authors': ['Carlo Ghezzi', 'Mehdi Jazayeri', 'Dino Mandrioli'], 'Publisher': 'Pearson', 'Year': '2003', 'Language': 'en'}"
8,Look Good Now and Always: A Do-It-Yourself Style Makeover for Busy Women,9780615901565,"{'ISBN-13': '9780615901565', 'Title': 'Look Good Now And Always - A Do-It-Yourself Style Makeover For Busy Women', 'Authors': ['Marian Rothschild'], 'Publisher': '', 'Year': '2014', 'Language': 'en'}"
9,"It's Ramadan, Curious George",9780544652262,"{'ISBN-13': '9780544652262', 'Title': ""It's Ramadan, Curious George"", 'Authors': ['H.a. Rey', 'Hena Khan'], 'Publisher': 'HMH Books For Young Readers', 'Year': '2016', 'Language': 'en'}"
