,0,1,2
0,Maximum Asthma Control: The Revolutionary 3-step Anti-asthma Program,9781442951648,"{'ISBN-13': '9781442951648', 'Title': 'Maximum Asthma Control - The Revolutionary 3-Step Anti Asthma Program', 'Authors': ['Michael E. Cichorski'], 'Publisher': 'Readhowyouwant', 'Year': '2008', 'Language': 'en'}"
1,Oxford Textbook of Spirituality in Healthcare (Oxford Textbooks in Public Health),9780198717386,"{'ISBN-13': '9780198717386', 'Title': 'Oxford Textbook Of Spirituality In Healthcare', 'Authors': ['Mark Cobb', 'Christina M. Puchalski', 'Bruce Rumbold'], 'Publisher': 'Oxford University Press, USA', 'Year': '2014', 'Language': 'en'}"
2,Boyfriends & Girlfriends: A Guide to Dating for People with Disabilities,9781606132555,"{'ISBN-13': '9781606132555', 'Title': 'Boyfriends And Girlfriends - A Guide To Dating For People With Disabilities', 'Authors': ['Terri Couwenhoven'], 'Publisher': '', 'Year': '2015', 'Language': 'en'}"
3,A Girl of the Limberlost,9780253203311,"{'ISBN-13': '9780253203311', 'Title': 'A Girl Of The Limberlost', 'Authors': ['Gene Stratton-Porter'], 'Publisher': 'Library of Indiana Classics', 'Year': '1984', 'Language': 'en'}"
4,Umiker's Management Skills For The New Health Care Supervisor,9781284121322,"{'ISBN-13': '9781284121322', 'Title': ""Umiker's Management Skills For The New Health Care Supervisor"", 'Authors': ['Mcconnell'], 'Publisher': 'Jones & Bartlett Learning', 'Year': '2016', 'Language': 'en'}"
5,East of West The Apocalypse: Year One,9781632154309,"{'ISBN-13': '9781632154309', 'Title': 'East Of West - The Apocalypse: Year One', 'Authors': ['Nick Dragotta', 'Jonathan Hickman'], 'Publisher': '', 'Year': '2015', 'Language': 'en'}"
6,How to Clone a Mammoth: The Science of De-Extinction,9780691173115,"{'ISBN-13': '9780691173115', 'Title': 'How To Clone A Mammoth - The Science Of De-Extinction', 'Authors': ['Beth Shapiro'], 'Publisher': 'Princeton University Press', 'Year': '2016', 'Language': 'en'}"
7,The Thin in 10 Weight-Loss Plan: Transform Your Body (and Life!) in Minutes a Day,9781934716359,"{'ISBN-13': '9781934716359', 'Title': 'The Thin In 10 Weight-Loss Plan - Transform Your Body (And Life!) In Minutes A Day', 'Authors': ['Jessica Smith', 'Liz Neporent'], 'Publisher': 'Sunrise River Press', 'Year': '2012', 'Language': 'en'}"
8,The Nuts and Bolts of Cardiac Pacing,9781405184038,"{'ISBN-13': '9781405184038', 'Title': 'The Nuts And Bolts Of Cardiac Pacing', 'Authors': ['Tom Kenny'], 'Publisher': 'Wiley-Blackwell', 'Year': '2008', 'Language': 'en'}"
9,Enormous Smallness: A Story of E. E. Cummings,9781592701711,"{'ISBN-13': '9781592701711', 'Title': 'Enormous Smallness - A Story Of E. E. Cummings', 'Authors': ['Matthew Burgess'], 'Publisher': '', 'Year': '2015', 'Language': 'en'}"
