,0,1,2
0,The Art of Typewriting,9780500241493,"{'ISBN-13': '9780500241493', 'Title': 'The Art Of Typewriting', 'Authors': ['Marvin Sackner', 'Ruth Sackner'], 'Publisher': '', 'Year': '2015', 'Language': 'en'}"
1,Patti LuPone: A Memoir,9780307460745,"{'ISBN-13': '9780307460745', 'Title': 'Patti Lupone - A Memoir', 'Authors': ['Patti LuPone', 'Digby Diehl'], 'Publisher': 'Crown', 'Year': '2011', 'Language': 'en'}"
2,"I possedimenti olandesi. I. II. Le Indie Olandesi, il Suriname, le Antille.",9788892102293,"{'ISBN-13': '9788892102293', 'Title': 'Sistemi giuridici nel mondo - con introduzione di Gabriele Crespi Reghizzi', 'Authors': ['Alba Negri'], 'Publisher': 'G Giappichelli Editore', 'Year': '2016', 'Language': 'it'}"
3,"Madagascar 1:1,650,000 Travel Reference Map 2007***",9781553413066,{}
4,The Target (Will Robie Series),9781455521265,"{'ISBN-13': '9781455521265', 'Title': 'The Target', 'Authors': ['David Baldacci'], 'Publisher': 'Vision', 'Year': '2015', 'Language': 'en'}"
5,Just Caring: Health Reform,9780195128048,"{'ISBN-13': '9780195128048', 'Title': 'Just Caring - Health Care Rationing And Democratic Deliberation', 'Authors': ['Leonard M. Fleck'], 'Publisher': 'Oxford University Press', 'Year': '2009', 'Language': 'en'}"
6,From God To Us Revised and Expanded: How We Got Our Bible,9780802428820,"{'ISBN-13': '9780802428820', 'Title': 'From God To Us - How We Got Our Bible', 'Authors': ['Norman L. Geisler', 'William E. Nix'], 'Publisher': 'Moody Pub', 'Year': '2012', 'Language': 'en'}"
7,"Tallinn, 2nd: The Bradt City Guide (Bradt Mini Guide)",9781841621791,"{'ISBN-13': '9781841621791', 'Title': 'Tallinn', 'Authors': ['Neil Taylor'], 'Publisher': 'Bradt Travel Guides', 'Year': '2007', 'Language': 'en'}"
8,I Only Surf Online (Sports Illustrated Kids Victory School Superstars),9781434233943,"{'ISBN-13': '9781434233943', 'Title': 'I Only Surf Online', 'Authors': ['Val Priebe', 'Jorge Santillan'], 'Publisher': 'Capstone', 'Year': '2011', 'Language': 'en'}"
9,A Reed Shaken by the Wind: A Journey Through the Unexplored Marshlands of Iraq (Transaction Large Print Books),9781850892724,"{'ISBN-13': '9781850892724', 'Title': 'A Reed Shaken By The Wind - A Journey Through The Unexplored Marshlands Of Iraq', 'Authors': ['Gavin Maxwell'], 'Publisher': 'Isis Large Print Books', 'Year': '1989', 'Language': 'en'}"
