,0,1,2
0,Transcendence: Aurora Rising Book Three (Volume 3),9780996014168,"{'ISBN-13': '9780996014168', 'Title': 'Transcendence - Aurora Rising Book Three', 'Authors': ['G. S. Jennsen'], 'Publisher': '', 'Year': '2015', 'Language': 'en'}"
1,The Terran Gambit (Episode #1 of The PAX HUMANA Saga),9781796751697,"{'ISBN-13': '9781796751697', 'Title': 'The Terran Gambit (Episode #1: The Pax Humana Saga)', 'Authors': ['Nick Webb'], 'Publisher': 'Pax Humana Saga', 'Year': '2019', 'Language': 'en'}"
2,Starfire,9781401261603,"{'ISBN-13': '9781401261603', 'Title': 'Starfire', 'Authors': ['Jimmy Palmiotti'], 'Publisher': '', 'Year': '2016', 'Language': 'en'}"
3,The Ghost from the Grand Banks,9780553072228,"{'ISBN-13': '9780553072228', 'Title': 'The Ghost From The Grand Banks', 'Authors': ['Arthur Charles Clarke'], 'Publisher': 'Spectra', 'Year': '1990', 'Language': 'en'}"
4,Search for the Saiph (The Saiph Series) (Volume 2),9781494564124,{}
5,Futures: 50 Years in Space,9781904332138,"{'ISBN-13': '9781904332138', 'Title': 'Futures - 50 Years In Space : The Challenge Of The Stars', 'Authors': ['David A. Hardy', 'Patrick Moore'], 'Publisher': '', 'Year': '2004', 'Language': 'en'}"
6,A First Love Never Dies (The Spi-Corp Series) (Volume 1),9781490337470,"{'ISBN-13': '9781490337470', 'Title': 'A First Love Will Never Die', 'Authors': ['Margaret Taylor'], 'Publisher': 'CreateSpace', 'Year': '2013', 'Language': 'en'}"
7,Tom Swift and His Martian TerraVironment (Tom Swift Invention Series) (Volume 9),9781304543066,"{'ISBN-13': '9781304543066', 'Title': '9\x97Tom Swift and His Martian TerraVironment (HB)', 'Authors': ['Victor Appleton II'], 'Publisher': 'Lulu.com', 'Year': '2013', 'Language': 'en'}"
8,Conquistador,9780553384710,"{'ISBN-13': '9780553384710', 'Title': 'Conquistador - Hernán Cortés, King Montezuma, and the Last Stand of the Aztecs', 'Authors': ['Buddy Levy'], 'Publisher': 'Bantam', 'Year': '2009', 'Language': 'en'}"
9,Europa,9780816528448,"{'ISBN-13': '9780816528448', 'Title': 'Europa', 'Authors': ['Robert T. Pappalardo', 'William B. McKinnon', 'K. Khurana'], 'Publisher': 'University of Arizona Press', 'Year': '2009', 'Language': 'en'}"
