,0,1,2
0,Viking Longship (New Vanguard),9781841763491,"{'ISBN-13': '9781841763491', 'Title': 'Viking Longship', 'Authors': ['Keith Durham'], 'Publisher': 'Osprey Publishing', 'Year': '2002', 'Language': 'en'}"
1,Designing a Successful KM Strategy: A Guide for the Knowledge Management Professional,9781573875103,"{'ISBN-13': '9781573875103', 'Title': 'Designing A Successful KM Strategy - A Guide For The Knowledge Management Professional', 'Authors': ['Stephanie Barnes', 'Nick Milton'], 'Publisher': 'Information Today', 'Year': '2014', 'Language': 'en'}"
2,Coaching Girls' Softball: From the How-To's of the Game to Practical Real-World Advice--Your Definitive Guide to Successfully Coaching Girls,9780761532507,"{'ISBN-13': '9780761532507', 'Title': ""Coaching Girls' Softball - From The How-To's Of The Game To Practical Real-World Advice, Your Definitive Guide To Successfully Coaching Girls"", 'Authors': ['Kathy Strahan'], 'Publisher': 'Crown', 'Year': '2001', 'Language': 'en'}"
3,On Your Own in El Salvador,9780964378902,"{'ISBN-13': '9780964378902', 'Title': 'On Your Own In El Salvador', 'Authors': ['Jeff Brauer', 'Julian Smith', 'Veronica Wiles'], 'Publisher': 'On Your Own Pub', 'Year': '1995', 'Language': 'en'}"
4,Making Life More Livable : Simple Adaptations for Living at Home After Vision Loss,9780891283874,"{'ISBN-13': '9780891283874', 'Title': 'Making Life More Livable - Simple Adaptations For Living At Home After Vision Loss', 'Authors': ['Maureen A. Duffy'], 'Publisher': 'American Foundation for the Blind', 'Year': '2002', 'Language': 'en'}"
5,Texas (Compendium of the Confederate Armies),9781585496990,"{'ISBN-13': '9781585496990', 'Title': 'Compendium Of The Confederate Armies - Texas', 'Authors': ['Stewart Sifakis'], 'Publisher': '', 'Year': '2009', 'Language': 'en'}"
6,"Sawtooth National Recreation Area: A Guide to Trails, Roads, and Waters in Idaho's Sawtooth, White Cloud, and Boulder Mountains",9780911824964,"{'ISBN-13': '9780911824964', 'Title': ""Sawtooth National Recreation Area - A Guide To Trails, Roads, And Waters In Idaho's Sawtooth, White Cloud, And Boulder Mountains"", 'Authors': ['Luther Linkhart'], 'Publisher': '', 'Year': '1981', 'Language': 'en'}"
7,Guide to Dental Front Office Administration,9780132194020,"{'ISBN-13': '9780132194020', 'Title': 'Guide To Dental Front Office Administration', 'Authors': ['ICDC Publishing, Inc'], 'Publisher': 'Prentice Hall', 'Year': '2008', 'Language': 'en'}"
8,Concerning the Spiritual in Art,9780486234113,"{'ISBN-13': '9780486234113', 'Title': 'Concerning The Spiritual In Art', 'Authors': ['Wassily Kandinsky'], 'Publisher': 'Courier Corporation', 'Year': '1977', 'Language': 'en'}"
9,"The Kaizen Event Planner: Achieving Rapid Improvement in Office, Service, and Technical Environments",9781563273513,"{'ISBN-13': '9781563273513', 'Title': 'The Kaizen Event Planner - Achieving Rapid Improvement In Office, Service, And Technical Environments', 'Authors': ['Karen Martin', 'Mike Osterling'], 'Publisher': 'Productivity Press', 'Year': '2007', 'Language': 'en'}"
