,0,1,2
0,Cases and Materials on Land Use (American Casebook Series),9781634596879,"{'ISBN-13': '9781634596879', 'Title': 'Cases And Materials On Land Use', 'Authors': ['David Callies', 'Robert Freilich', 'Shelley Saxer'], 'Publisher': 'West Academic Publishing', 'Year': '2017', 'Language': 'en'}"
1,Gravitation and Inertia,9780691033235,"{'ISBN-13': '9780691033235', 'Title': 'Gravitation And Inertia', 'Authors': ['Ignazio Ciufolini', 'John Archibald Wheeler'], 'Publisher': 'Princeton University Press', 'Year': '1995', 'Language': 'en'}"
2,"The Out-of-Sync Child Has Fun, Revised Edition: Activities for Kids with Sensory Processing Disorder",9780399532719,"{'ISBN-13': '9780399532719', 'Title': 'The Out-Of-Sync Child Has Fun, Revised Edition - Activities For Kids With Sensory Processing Disorder', 'Authors': ['Carol Kranowitz'], 'Publisher': 'Penguin', 'Year': '2006', 'Language': 'en'}"
3,Michelin Belgium Luxembourg Maps 716 (Maps/Country (Michelin)),9782067123007,"{'ISBN-13': '9782067123007', 'Title': 'Michelin Map Belgium Luxembourg 716', 'Authors': ['Michelin'], 'Publisher': '', 'Year': '2006', 'Language': 'en'}"
4,"Rah, Rah, Radishes!: A Vegetable Chant (Classic Board Books)",9781442499270,"{'ISBN-13': '9781442499270', 'Title': 'Rah, Rah, Radishes! - A Vegetable Chant', 'Authors': ['April Pulley Sayre'], 'Publisher': 'Simon and Schuster', 'Year': '2014', 'Language': 'en'}"
5,Dungeons & Dragons Starter Set: Fantasy Roleplaying Game Starter Set (D&D Boxed Game),9780786948208,"{'ISBN-13': '9780786948208', 'Title': 'Dungeons And Dragons Roleplaying Game Starter Set', 'Authors': ['Wizards of the Coast, Inc.', 'Wizards RPG Team'], 'Publisher': '', 'Year': '2008', 'Language': 'en'}"
6,Bones of Contention: A Creationist Assessment of Human Fossils,9780801065231,"{'ISBN-13': '9780801065231', 'Title': 'Bones Of Contention - A Creationist Assessment Of Human Fossils', 'Authors': ['Marvin L. Lubenow'], 'Publisher': 'Baker Books', 'Year': '2004', 'Language': 'en'}"
7,The Lost World of Fossil Lake: Snapshots from Deep Time,9780226922966,"{'ISBN-13': '9780226922966', 'Title': 'The Lost World Of Fossil Lake - Snapshots From Deep Time', 'Authors': ['Lance Grande'], 'Publisher': 'University of Chicago Press', 'Year': '2013', 'Language': 'en'}"
8,Alphaville (French Film Guides),9780252030888,"{'ISBN-13': '9780252030888', 'Title': 'Alphaville (Jean-Luc Godard, 1965)', 'Authors': ['Chris Darke'], 'Publisher': 'University of Illinois Press', 'Year': '2005', 'Language': 'en'}"
9,Only in Louisiana: A Guide for the Adventurous Traveler,9780937552568,"{'ISBN-13': '9780937552568', 'Title': 'Only In Louisiana - A Guide For The Adventurous Traveler', 'Authors': ['Keith Odom'], 'Publisher': '', 'Year': '1994', 'Language': 'en'}"
